,Tempo,T0,T1,T2,T3,T4
0,953,23.86,23.5,23.39,24.07,23.94
1,2009,23.85,23.5,23.38,24.05,23.93
2,3064,23.85,23.51,23.39,24.05,23.94
3,4120,23.88,23.51,23.38,24.06,23.96
4,5176,23.86,23.5,23.39,24.05,23.93
5,6231,23.84,23.5,23.39,24.05,23.95
6,7286,23.86,23.52,23.38,24.06,23.96
7,8342,23.85,23.52,23.39,24.06,23.96
8,9398,23.88,23.5,23.38,24.04,23.99
9,10454,23.83,23.49,23.39,24.05,24.01
10,11510,23.87,23.52,23.39,24.04,24.04
11,12566,23.86,23.53,23.39,24.06,24.07
12,13623,23.86,23.51,23.39,24.05,24.15
13,14679,23.85,23.5,23.39,24.05,24.19
14,15735,23.86,23.52,23.39,24.04,24.26
15,16791,23.86,23.5,23.39,24.03,24.34
16,17847,23.86,23.5,23.38,24.03,24.42
17,18904,23.86,23.52,23.39,24.05,24.52
18,19959,23.86,23.5,23.39,24.05,24.6
19,21016,23.84,23.51,23.38,24.04,24.69
20,22072,23.85,23.52,23.39,24.03,24.81
21,23128,23.84,23.52,23.39,24.03,24.91
22,24184,23.87,23.5,23.39,24.01,25.04
23,25240,23.88,23.51,23.39,24.05,25.16
24,26297,23.86,23.52,23.39,24.04,25.27
25,27353,23.87,23.52,23.39,24.03,25.41
26,28409,23.86,23.52,23.38,24.03,25.53
27,29465,23.87,23.52,23.39,24.04,25.64
28,30521,23.85,23.51,23.39,24.04,25.74
29,31578,23.86,23.53,23.39,24.07,25.91
30,32633,23.87,23.52,23.39,24.02,26.01
31,33690,23.87,23.52,23.39,24.02,26.15
32,34746,23.86,23.52,23.39,24.03,26.29
33,35803,23.75,23.38,23.25,23.89,26.06
34,36858,23.74,23.39,23.26,23.91,26.39
35,37915,23.74,23.39,23.26,23.89,26.56
36,38971,23.74,23.38,23.25,23.89,26.68
37,40028,23.75,23.38,23.26,23.89,26.83
38,41084,23.73,23.39,23.26,23.92,26.95
39,42140,23.74,23.39,23.26,23.9,27.11
40,43197,23.76,23.38,23.25,23.88,27.23
41,44253,23.75,23.39,23.26,23.9,27.39
42,45309,23.74,23.38,23.26,23.89,27.52
43,46365,23.73,23.4,23.26,23.91,27.66
44,47422,23.73,23.39,23.26,23.89,27.79
45,48478,23.74,23.38,23.26,23.89,27.94
46,49534,23.74,23.39,23.26,23.9,28.09
47,50591,23.76,23.38,23.26,23.9,28.24
48,51647,23.72,23.38,23.26,23.89,28.37
49,52704,23.74,23.38,23.25,23.9,28.53
50,53760,23.74,23.39,23.26,23.9,28.67
51,54816,23.76,23.39,23.26,23.9,28.8
52,55872,23.73,23.38,23.25,23.9,28.94
53,56929,23.72,23.38,23.26,23.89,29.1
54,57985,23.76,23.38,23.26,23.9,29.25
55,59041,23.73,23.39,23.26,23.89,29.36
56,60097,23.73,23.4,23.26,23.89,29.5
57,61154,23.74,23.38,23.26,23.9,29.64
58,62210,23.76,23.38,23.26,23.89,29.77
59,63266,23.72,23.38,23.26,23.91,29.91
60,64322,23.72,23.38,23.26,23.88,30.05
61,65379,23.72,23.38,23.26,23.89,30.19
62,66435,23.72,23.38,23.26,23.89,30.32
63,67491,23.73,23.39,23.26,23.92,30.45
64,68547,23.73,23.38,23.25,23.9,30.61
65,69603,23.7,23.4,23.25,23.92,30.71
66,70660,23.68,23.39,23.26,23.92,30.83
67,71715,23.7,23.39,23.26,23.92,30.97
68,72771,23.75,23.38,23.25,23.92,31.08
69,73828,23.74,23.4,23.26,23.94,31.21
70,74884,23.74,23.4,23.26,23.94,31.38
71,75940,23.72,23.38,23.26,23.92,31.48
72,76996,23.73,23.38,23.26,23.92,31.61
73,78052,23.73,23.38,23.26,23.94,31.76
74,79109,23.72,23.36,23.25,23.95,31.88
75,80164,23.72,23.37,23.26,23.95,32.02
76,81221,23.75,23.38,23.26,23.94,32.11
77,82277,23.74,23.39,23.27,23.97,32.23
78,83334,23.74,23.38,23.26,23.96,32.37
79,84389,23.7,23.38,23.26,23.96,32.49
80,85446,23.74,23.36,23.26,23.96,32.64
81,86502,23.7,23.37,23.27,23.97,32.75
82,87559,23.71,23.38,23.25,23.96,32.86
83,88614,23.74,23.4,23.26,23.97,32.98
84,89671,23.74,23.36,23.26,23.99,33.11
85,90727,23.69,23.38,23.25,23.99,33.21
86,91784,23.72,23.36,23.26,24.0,33.32
87,92839,23.7,23.36,23.26,24.01,33.42
88,93895,23.72,23.36,23.26,24.01,33.54
89,94952,23.7,23.36,23.26,24.01,33.64
90,96008,23.72,23.36,23.25,24.04,33.72
91,97064,23.72,23.36,23.26,24.04,33.86
92,98120,23.7,23.35,23.26,24.04,33.94
